Node1,Node2
0,285
0,338
0,360
0,458
0,744
0,779
0,795
0,833
0,998
1,21
1,30
1,58
1,168
1,433
1,610
1,635
1,737
1,876
1,881
2,87
2,114
2,200
2,299
2,340
2,344
2,484
2,523
2,798
2,891
3,54
3,95
3,195
3,200
3,241
3,313
3,459
3,486
3,543
3,568
3,841
3,869
4,8
4,137
4,214
4,284
4,358
4,808
4,823
4,845
4,976
5,78
5,118
5,429
5,483
5,500
5,695
5,698
5,895
5,953
5,1013
5,1020
6,42
6,491
6,498
6,592
6,813
6,822
6,894
6,1015
7,163
7,313
7,478
7,573
7,644
7,671
7,797
7,940
7,942
7,1015
8,97
8,156
8,263
8,302
8,445
8,673
8,856
9,119
9,412
9,476
9,672
9,738
9,792
10,30
10,62
10,91
10,106
10,145
10,318
10,338
10,401
10,471
10,487
10,665
10,714
10,889
10,900
10,905
10,931
10,959
10,999
11,26
11,288
11,845
12,139
12,194
12,531
12,807
13,117
13,145
13,155
13,347
13,467
13,496
13,717
13,760
13,776
13,814
14,102
14,131
14,147
14,258
14,413
14,894
14,976
14,989
15,74
15,141
15,156
15,187
15,307
15,460
15,906
15,1009
16,273
16,293
16,335
16,350
16,531
16,627
16,830
17,183
17,348
17,408
17,733
17,839
17,849
17,853
17,878
18,19
18,22
18,151
18,221
18,348
18,595
18,623
18,699
18,750
18,791
19,98
19,290
19,425
19,466
19,499
19,539
19,545
19,581
19,636
19,797
19,825
19,935
20,37
20,68
20,87
20,97
20,193
20,261
20,302
20,511
20,613
20,626
20,636
20,673
20,730
20,745
20,791
20,877
20,976
21,359
21,502
21,526
21,553
21,672
21,742
21,792
21,795
21,820
21,884
21,902
21,1011
22,367
22,388
22,433
22,465
22,544
22,606
22,746
22,805
22,963
23,161
23,477
23,639
23,728
23,873
23,975
24,134
24,223
24,412
24,431
24,622
24,670
24,766
24,792
24,833
24,859
24,948
24,994
25,302
25,398
25,493
25,516
25,549
25,569
25,584
25,641
25,740
25,929
26,115
26,130
26,190
26,205
26,231
26,369
26,566
26,574
26,599
26,635
26,803
26,833
27,154
27,166
27,235
27,374
27,588
27,884
27,926
27,952
28,35
28,287
28,403
28,410
28,427
28,506
28,566
28,577
28,603
28,614
28,836
28,876
29,48
29,51
29,425
29,439
29,560
29,595
29,725
29,938
29,950
29,986
29,1017
30,47
30,153
30,215
30,248
30,316
30,915
31,130
31,146
31,154
31,359
31,417
31,460
31,508
31,525
31,529
31,538
31,665
31,701
31,733
31,762
31,790
31,815
32,94
32,133
32,154
32,166
32,176
32,277
32,453
32,571
32,630
32,718
32,782
32,932
32,997
33,74
33,76
33,333
33,410
33,576
33,722
33,833
34,153
34,179
34,198
34,240
34,276
34,380
34,475
34,496
34,498
34,740
34,759
34,772
34,790
34,807
34,859
34,893
34,974
34,1022
35,142
35,242
35,428
35,452
35,525
35,569
35,612
35,706
35,820
35,826
35,959
35,1008
36,39
36,166
36,263
36,277
36,317
36,417
36,854
36,862
36,1002
37,100
37,168
37,262
37,298
37,465
37,605
37,649
37,715
37,732
38,45
38,141
38,190
38,254
38,292
38,359
38,415
38,442
38,495
38,501
38,533
38,720
38,970
38,993
39,97
39,140
39,232
39,236
39,267
39,404
39,454
39,584
39,618
39,631
39,658
39,817
39,850
39,871
39,1010
40,85
40,90
40,350
40,373
40,497
40,679
40,693
40,766
40,792
40,888
40,894
40,905
40,952
41,64
41,147
41,215
41,397
41,462
41,489
41,696
41,697
41,844
41,927
42,262
42,336
42,467
42,542
42,604
42,698
42,711
42,758
42,794
42,963
43,62
43,215
43,234
43,283
43,332
43,353
43,368
43,413
43,466
43,489
43,749
43,755
43,862
43,999
44,207
44,217
44,232
44,532
44,615
44,768
44,925
44,943
45,183
45,203
45,257
45,279
45,283
45,394
45,426
45,438
45,519
45,536
45,567
45,718
45,736
45,947
46,92
46,356
46,371
46,405
46,564
46,900
47,170
47,449
47,866
47,912
47,1018
48,150
48,472
48,630
48,647
48,825
48,861
48,879
48,968
48,980
49,92
49,137
49,168
49,244
49,954
50,57
50,196
50,199
50,354
50,428
50,434
50,548
50,643
50,785
50,966
51,172
51,301
51,373
51,503
51,517
51,563
51,608
51,688
51,746
51,819
51,1012
52,59
52,158
52,306
52,321
52,595
52,673
52,695
52,708
52,710
52,814
52,889
53,376
53,389
53,495
53,522
53,541
53,624
53,648
53,723
53,734
53,938
53,976
53,994
53,1002
54,187
54,226
54,422
54,496
54,548
54,585
54,639
54,878
54,978
55,59
55,231
55,261
55,301
55,340
55,424
55,449
55,675
55,983
56,141
56,226
56,264
56,270
56,326
56,389
56,439
56,554
56,678
56,842
56,881
56,984
57,424
57,433
57,478
57,555
57,657
57,795
57,900
58,74
58,104
58,201
58,283
58,373
58,518
58,520
58,785
58,853
58,885
59,104
59,112
59,144
59,163
59,290
59,329
59,446
59,587
59,591
59,686
59,795
59,1014
60,96
60,163
60,177
60,731
60,943
61,157
61,276
61,306
61,442
61,605
61,685
61,718
61,801
61,867
61,925
61,959
61,970
62,94
62,104
62,321
62,418
62,433
62,437
62,517
62,547
62,554
62,583
62,681
62,784
62,835
62,919
62,1001
63,194
63,318
63,391
63,429
63,507
63,805
63,852
63,986
64,154
64,161
64,308
64,889
64,902
64,918
64,1019
65,103
65,173
65,215
65,262
65,270
65,295
65,462
65,827
65,995
66,75
66,160
66,191
66,224
66,240
66,421
66,486
66,616
66,632
66,881
67,97
67,119
67,757
67,774
67,792
67,800
67,844
67,981
68,206
68,239
68,539
68,587
68,589
68,775
68,873
69,232
69,396
69,519
69,550
69,633
69,710
69,762
69,769
69,771
69,805
70,187
70,357
70,494
70,593
70,767
70,853
70,940
70,1004
70,1006
71,101
71,391
71,441
71,462
71,465
71,658
71,755
71,824
71,980
71,981
72,136
72,360
72,628
72,690
72,897
72,943
72,946
72,1013
73,146
73,335
73,373
73,510
73,560
73,663
73,743
73,751
73,876
73,913
73,967
74,395
74,464
74,599
74,804
75,83
75,102
75,147
75,281
75,423
75,561
75,660
75,744
75,791
75,809
75,845
75,853
75,863
75,907
75,916
76,372
76,406
76,465
76,532
76,582
76,653
76,675
76,751
76,822
76,962
76,983
77,100
77,106
77,190
77,197
77,225
77,380
77,440
77,470
77,483
77,761
77,943
77,1004
78,296
78,318
78,424
78,431
78,476
78,620
78,648
78,947
78,973
79,173
79,236
79,263
79,639
79,646
79,851
79,878
80,191
80,231
80,236
80,308
80,317
80,377
80,491
80,573
80,592
80,626
80,683
80,760
80,944
80,960
80,985
80,1019
81,92
81,105
81,145
81,339
81,494
81,498
81,545
81,555
81,572
81,818
81,884
82,162
82,168
82,317
82,334
82,341
82,507
82,511
82,593
82,909
83,88
83,136
83,137
83,186
83,357
83,371
83,466
83,550
83,733
83,826
83,840
83,881
83,935
84,107
84,116
84,281
84,569
84,654
84,752
84,762
84,802
85,86
85,148
85,185
85,270
85,408
85,521
85,543
85,548
85,570
85,710
85,776
85,946
86,234
86,418
86,541
86,842
86,850
86,878
86,1010
87,209
87,237
87,382
87,406
87,448
87,530
87,691
87,747
87,839
87,843
87,1023
88,97
88,133
88,219
88,242
88,273
88,434
88,807
88,817
88,819
88,959
88,1014
89,276
89,297
89,317
89,588
89,600
89,604
89,605
89,941
89,1004
89,1021
90,124
90,127
90,136
90,143
90,249
90,256
90,461
90,475
90,584
90,711
90,887
90,954
91,92
91,388
91,401
91,414
91,595
91,691
91,740
92,173
92,359
92,381
92,590
92,631
92,638
92,727
92,739
92,755
92,835
92,958
92,1023
93,148
93,162
93,175
93,183
93,327
93,697
93,937
93,942
93,1013
94,100
94,165
94,168
94,332
94,593
94,605
94,741
94,804
94,995
95,108
95,180
95,189
95,367
95,473
95,571
95,691
95,965
95,1015
96,252
96,441
96,553
96,613
96,631
96,654
96,816
96,1000
97,107
97,125
97,322
97,382
97,431
97,487
97,544
97,554
97,571
97,599
97,731
97,776
97,991
98,159
98,166
98,324
98,383
98,432
98,570
98,735
98,871
98,883
98,901
98,941
99,153
99,192
99,204
99,233
99,424
99,624
99,684
99,693
99,716
99,783
99,796
100,101
100,186
100,254
100,337
100,412
100,418
100,519
100,604
100,607
100,608
100,622
100,669
100,818
100,866
101,140
101,159
101,178
101,368
101,379
101,643
101,944
102,103
102,420
102,584
102,669
102,824
103,112
103,307
103,349
103,350
103,528
103,591
103,964
104,170
104,596
104,617
104,673
104,688
104,708
104,743
104,996
105,174
105,226
105,436
105,500
105,501
105,558
105,604
105,623
105,726
105,733
105,779
105,857
105,896
105,919
105,926
105,949
105,1017
106,332
106,719
106,731
106,741
106,819
106,970
107,152
107,233
107,562
107,571
107,609
107,635
107,653
107,814
108,213
108,388
108,436
108,442
108,540
108,589
108,607
108,712
108,791
108,818
109,155
109,219
109,252
109,308
109,437
109,540
109,582
109,826
109,844
109,983
110,199
110,356
110,361
110,614
110,639
110,697
110,755
110,866
110,880
110,1004
111,154
111,198
111,362
111,405
111,424
111,441
111,660
111,673
111,971
112,178
112,273
112,385
112,450
112,546
112,549
112,646
112,794
112,966
113,163
113,172
113,221
113,264
113,291
113,513
113,642
113,691
113,796
113,807
113,814
113,863
113,874
113,1015
114,202
114,205
114,456
114,688
114,891
114,1010
115,136
115,171
115,210
115,220
115,226
115,343
115,782
115,831
115,999
116,251
116,258
116,518
116,534
116,612
116,758
116,768
116,908
116,1022
117,120
117,305
117,381
117,399
117,461
117,559
117,613
117,624
117,933
117,946
118,232
118,455
118,576
118,687
118,862
118,886
118,939
119,242
119,300
119,351
119,456
119,669
119,761
119,821
119,826
119,900
120,445
120,586
120,591
120,596
120,697
120,822
120,830
120,898
120,960
121,203
121,372
121,374
121,382
121,385
