Node1,Node2
0,1
0,6
0,7
0,19
0,34
0,188
0,945
0,638
0,403
0,33
0,260
0,32
0,887
0,279
0,607
0,673
0,920
0,687
0,833
0,126
0,751
0,825
0,21
0,326
0,208
0,425
0,960
0,737
0,784
0,1013
0,331
1,2
1,3
1,4
1,21
1,69
1,160
1,279
1,371
1,14
1,296
1,309
1,969
1,518
1,783
1,952
1,40
1,443
1,903
1,268
1,849
1,329
1,465
1,751
1,476
1,724
1,331
1,184
1,403
1,945
1,365
1,906
1,778
1,94
1,464
1,437
1,326
1,57
1,232
1,16
1,852
1,256
1,316
1,382
1,701
1,104
1,961
1,700
1,49
1,138
1,295
2,5
2,10
2,12
2,16
2,18
2,22
2,25
2,86
2,95
2,683
2,990
2,179
2,227
2,268
2,38
2,129
2,581
2,653
2,219
2,591
2,608
2,628
2,46
2,633
2,351
2,396
2,617
2,1018
2,1010
2,320
2,517
2,398
2,669
2,75
2,62
2,873
2,53
2,153
2,277
2,284
2,675
2,101
2,302
2,722
2,131
2,515
2,516
2,63
2,99
2,662
2,831
2,777
2,296
2,672
2,263
2,419
2,45
2,323
2,689
2,714
2,965
2,756
2,823
2,926
2,156
2,719
2,798
2,906
2,118
2,952
2,338
2,480
2,725
2,1007
2,232
2,127
2,309
2,266
2,159
2,867
2,835
2,980
2,72
3,9
3,11
3,13
3,50
3,94
3,215
3,851
3,282
3,26
3,528
3,297
3,371
3,907
3,54
3,415
3,561
3,270
3,365
3,600
3,526
3,682
3,656
3,596
3,826
3,408
3,214
3,668
3,436
3,488
3,646
3,295
3,783
3,137
3,321
3,237
3,443
3,330
3,59
3,421
3,841
3,800
3,629
3,572
3,304
3,757
3,69
3,139
3,934
3,948
3,104
3,474
3,23
3,821
3,522
3,165
4,14
4,17
4,42
4,87
4,204
4,309
4,658
4,31
4,279
4,700
4,150
4,229
4,825
4,313
4,337
4,238
4,569
4,972
4,276
4,64
4,963
4,910
4,845
4,293
4,751
4,535
5,8
5,38
5,101
5,179
5,268
5,550
5,584
5,129
5,347
5,581
5,618
5,642
5,675
5,396
5,731
5,517
5,74
5,744
5,18
5,608
5,1008
5,516
5,95
5,802
5,988
5,336
5,277
5,813
5,758
5,529
5,862
5,183
5,73
5,578
6,33
6,39
6,81
6,96
6,373
6,267
6,19
6,457
6,892
6,751
6,34
6,607
6,481
6,684
6,119
6,579
6,509
6,699
6,859
6,606
6,456
6,477
6,253
6,1021
6,852
6,566
6,400
6,83
6,334
6,784
6,987
6,299
7,27
7,32
7,43
7,105
7,111
7,176
7,230
7,126
7,318
7,455
7,721
7,718
7,66
7,559
7,775
7,901
7,1003
7,960
7,393
7,951
7,830
7,947
7,974
7,389
7,113
7,776
7,489
7,71
7,324
7,202
7,525
7,147
7,357
7,83
7,432
7,452
7,167
7,710
